001.001.0	1	1	1	1
001.001.a	2	1	2	1
001.001.b	3	1	3	1
001.001.c	4	1	4	1
001.001.c	4	1	5	2
001.001.c	5	2	4	1
001.001.c	5	2	5	2
001.001.d	6	1	6	1
001.001.e	7	1	7	1
001.001.f	8	1	8	1
001.001.g	9	1	9	1
001.001.h	10	1	10	1
001.001.i	11	1	11	1
001.001.i	12	2	11	1
001.001.j	13	1	12	1
001.002.0	14	1	13	1
001.015.0	15	1	14	1
001.015.0	15	1	15	2
001.015.0	15	1	16	3
001.015.0	15	1	17	4
001.019.0	16	1	18	1
001.046.0	18	1	19	1
001.046.0	18	1	20	2
001.046.0	18	1	21	3
001.046.0	19	2	19	1
001.046.0	19	2	20	2
001.046.0	19	2	21	3
001.046.a	20	1	22	1
002.001.0	21	1	23	1
002.002.0	22	1	24	1
002.003.0	23	1	25	1
002.003.a	24	1	26	1
002.003.a	24	1	27	2
002.003.b	25	1	28	1
002.003.b	25	1	29	2
002.021.0	26	1	30	1
002.021.a	27	1	31	1
002.021.a	27	1	32	2
002.021.a	27	1	33	3
002.021.b	28	1	34	1
002.021.c	29	1	35	1
003.000.b	30	1	36	1
003.000.c	31	1	37	1
003.000.d	32	1	38	1
003.001.0	33	1	39	1
003.001.0	33	1	40	2
003.001.a	34	1	41	1
003.001.a	34	1	42	2
003.001.a	35	2	41	1
003.001.a	35	2	42	2
003.001.b	36	1	43	1
003.002.0	37	1	44	1
003.002.0	37	1	45	2
003.002.0	37	1	46	3
003.022.0	38	1	47	1
003.022.a	39	1	48	1
004.000.0	40	1	49	1
004.000.g	41	1	50	1
004.001.0	42	1	51	1
004.001.a	43	1	52	1
004.001.b	44	1	53	1
004.001.c	45	1	54	1
004.001.d	46	1	55	1
004.001.e	47	1	56	1
004.001.f	48	1	57	1
004.001.g	49	1	58	1
004.001.g	49	1	59	2
004.001.g	50	2	58	1
004.001.g	50	2	59	2
005.000.0	51	1	60	1
005.000.a	52	1	61	1
005.001.0	53	1	62	1
005.001.0	53	1	63	2
006.002.0	56	1	64	1
006.002.0	57	2	64	1
007.001.0	58	1	65	1
007.001.a	59	1	66	1
007.001.b	60	1	67	1
008.001.0	61	1	68	1
008.001.a	62	1	69	1
008.002.0	63	1	70	2
009.000.a	64	1	71	1
009.001.a	67	1	72	1
009.001.a	67	1	73	2
009.001.a	68	2	72	1
009.001.a	68	2	73	2
009.001.b	69	1	74	1
009.001.c	70	1	75	1
009.001.d	71	1	76	1
009.002.0	72	1	77	1
009.003.0	73	1	78	1
009.005.0	74	1	79	1
010.000.0	75	1	80	1
010.000.a	76	1	81	1
010.000.b	77	1	82	1
010.001.0	78	1	83	1
010.001.a	79	1	84	1
010.001.a	79	1	85	2
010.001.a	79	1	86	3
010.001.a	80	2	84	1
010.001.a	80	2	85	2
010.001.a	80	2	86	3
010.001.b	81	1	87	1
010.001.c	82	1	88	1
010.001.d	83	1	89	1
010.001.d	83	1	90	2
010.001.d	84	2	89	1
